"run","all_cause_isolation","susceptibility","handHygieneIntervention","transferFractionRandom","importationSurge","isolateOnSuspicion","decayRate","extra_samples","randomSeed","ppeIsolationAdherenceProb","terminalRoomCleaning","output_event_file","scenario","surfaceTransferFraction","postVisitCleaning","roomCleaningEfficacy","universalPpe","surveillanceSensitivity","surveillance","ppeEfficacy","surveillanceSpecificity","decayRandom"
496,0.2,0.0045,0.0,1,0.0,0,0.611171203898266,495,-802988743,0.6,0.8,"false",0,0.4372574691660702,0,0.5,"false",0.95,"false",0.9,0.7,1
512,0.2,0.0045,0.0,1,0.0,0,0.22399692819453776,511,-802807370,0.6,0.8,"false",0,0.5084627452306449,0,0.5,"false",0.95,"false",0.9,0.7,1
528,0.2,0.0045,0.0,1,0.0,0,0.261644272133708,527,-802577014,0.6,0.8,"false",0,0.5540251554921269,0,0.5,"false",0.95,"false",0.9,0.7,1
544,0.2,0.0045,0.0,1,0.0,0,0.33074064436368644,543,-802336193,0.6,0.8,"false",0,0.6844900299329311,0,0.5,"false",0.95,"false",0.9,0.7,1
560,0.2,0.0045,0.0,1,0.0,0,0.3366863310802728,559,-802092048,0.6,0.8,"false",0,0.4492773769889027,0,0.5,"false",0.95,"false",0.9,0.7,1
576,0.2,0.0045,0.0,1,0.0,0,0.45237716333940625,575,-801873621,0.6,0.8,"false",0,0.29306570906192064,0,0.5,"false",0.95,"false",0.9,0.7,1
592,0.2,0.0045,0.0,1,0.0,0,0.2172771291807294,591,-801692943,0.6,0.8,"false",0,0.9953728627879173,0,0.5,"false",0.95,"false",0.9,0.7,1
608,0.2,0.0045,0.0,1,0.0,0,0.6566430823877454,607,-801439124,0.6,0.8,"false",0,0.7617476168088615,0,0.5,"false",0.95,"false",0.9,0.7,1
624,0.2,0.0045,0.0,1,0.0,0,0.8757427714299411,623,-801224965,0.6,0.8,"false",0,0.3725654047448188,0,0.5,"false",0.95,"false",0.9,0.7,1
640,0.2,0.0045,0.0,1,0.0,0,0.8642149688676,639,-801055705,0.6,0.8,"false",0,0.7214888238813728,0,0.5,"false",0.95,"false",0.9,0.7,1
656,0.2,0.0045,0.0,1,0.0,0,0.09658283879980445,655,-800862388,0.6,0.8,"false",0,0.15501947654411197,0,0.5,"false",0.95,"false",0.9,0.7,1
672,0.2,0.0045,0.0,1,0.0,0,0.6132503557018936,671,-800674483,0.6,0.8,"false",0,0.6951368721202016,0,0.5,"false",0.95,"false",0.9,0.7,1
688,0.2,0.0045,0.0,1,0.0,0,0.7114666453562677,687,-800488592,0.6,0.8,"false",0,0.9582749372348189,0,0.5,"false",0.95,"false",0.9,0.7,1
704,0.2,0.0045,0.0,1,0.0,0,0.34583318536169827,703,-800265758,0.6,0.8,"false",0,0.2621566595043987,0,0.5,"false",0.95,"false",0.9,0.7,1
720,0.2,0.0045,0.0,1,0.0,0,0.4763937967363745,719,-800089703,0.6,0.8,"false",0,0.07965186983346939,0,0.5,"false",0.95,"false",0.9,0.7,1
736,0.2,0.0045,0.0,1,0.0,0,0.3529424599837512,735,-799946617,0.6,0.8,"false",0,0.3484674512874335,0,0.5,"false",0.95,"false",0.9,0.7,1
752,0.2,0.0045,0.0,1,0.0,0,0.5825989167205989,751,-799743609,0.6,0.8,"false",0,0.8474904668983072,0,0.5,"false",0.95,"false",0.9,0.7,1
768,0.2,0.0045,0.0,1,0.0,0,0.3842786701861769,767,-799534538,0.6,0.8,"false",0,0.8995324182324111,0,0.5,"false",0.95,"false",0.9,0.7,1
784,0.2,0.0045,0.0,1,0.0,0,0.22712799906730652,783,-799280252,0.6,0.8,"false",0,0.8470018364023417,0,0.5,"false",0.95,"false",0.9,0.7,1
800,0.2,0.0045,0.0,1,0.0,0,0.6264790610875934,799,-799008391,0.6,0.8,"false",0,0.5997687675990164,0,0.5,"false",0.95,"false",0.9,0.7,1
816,0.2,0.0045,0.0,1,0.0,0,0.2475462236907333,815,-798777562,0.6,0.8,"false",0,0.5243287610355765,0,0.5,"false",0.95,"false",0.9,0.7,1
832,0.2,0.0045,0.0,1,0.0,0,0.6981694977730513,831,-798529665,0.6,0.8,"false",0,0.7264167165849358,0,0.5,"false",0.95,"false",0.9,0.7,1
848,0.2,0.0045,0.0,1,0.0,0,0.35762741416692734,847,-798331221,0.6,0.8,"false",0,0.9344754707999527,0,0.5,"false",0.95,"false",0.9,0.7,1
864,0.2,0.0045,0.0,1,0.0,0,0.26232553645968437,863,-798076248,0.6,0.8,"false",0,0.4226122035179287,0,0.5,"false",0.95,"false",0.9,0.7,1
880,0.2,0.0045,0.0,1,0.0,0,0.043212831718847156,879,-797864743,0.6,0.8,"false",0,0.5319234433118254,0,0.5,"false",0.95,"false",0.9,0.7,1
896,0.2,0.0045,0.0,1,0.0,0,0.6448925761505961,895,-797608592,0.6,0.8,"false",0,0.6300780209712684,0,0.5,"false",0.95,"false",0.9,0.7,1
912,0.2,0.0045,0.0,1,0.0,0,0.7053972519934177,911,-797403828,0.6,0.8,"false",0,0.8357949084602296,0,0.5,"false",0.95,"false",0.9,0.7,1
928,0.2,0.0045,0.0,1,0.0,0,0.8294634581543505,927,-797179140,0.6,0.8,"false",0,0.24100009794346988,0,0.5,"false",0.95,"false",0.9,0.7,1
944,0.2,0.0045,0.0,1,0.0,0,0.2213640681002289,943,-797033752,0.6,0.8,"false",0,0.0443298181053251,0,0.5,"false",0.95,"false",0.9,0.7,1
960,0.2,0.0045,0.0,1,0.0,0,0.7563859829679132,959,-796908834,0.6,0.8,"false",0,0.3132114226464182,0,0.5,"false",0.95,"false",0.9,0.7,1
976,0.2,0.0045,0.0,1,0.0,0,0.8587382433470339,975,-796768309,0.6,0.8,"false",0,0.12638860940933228,0,0.5,"false",0.95,"false",0.9,0.7,1
992,0.2,0.0045,0.0,1,0.0,0,0.5681712597142905,991,-796656981,0.6,0.8,"false",0,0.16130011877976358,0,0.5,"false",0.95,"false",0.9,0.7,1
1,0.2,0.0045,0.0,1,0.0,0,0.527103038970381,0,-808806726,0.6,0.8,"false",0,0.9383532733190805,0,0.5,"false",0.95,"false",0.9,0.7,1
17,0.2,0.0045,0.0,1,0.0,0,0.593224888201803,16,-808637493,0.6,0.8,"false",0,0.23685898073017597,0,0.5,"false",0.95,"false",0.9,0.7,1
33,0.2,0.0045,0.0,1,0.0,0,0.09940006909891963,32,-808485275,0.6,0.8,"false",0,0.4462504379916936,0,0.5,"false",0.95,"false",0.9,0.7,1
49,0.2,0.0045,0.0,1,0.0,0,0.963362772250548,48,-808252980,0.6,0.8,"false",0,0.8138854156713933,0,0.5,"false",0.95,"false",0.9,0.7,1
65,0.2,0.0045,0.0,1,0.0,0,0.5173624088056386,64,-808073704,0.6,0.8,"false",0,0.3669542574789375,0,0.5,"false",0.95,"false",0.9,0.7,1
81,0.2,0.0045,0.0,1,0.0,0,0.9716370298992842,80,-807885526,0.6,0.8,"false",0,0.04069228423759341,0,0.5,"false",0.95,"false",0.9,0.7,1
97,0.2,0.0045,0.0,1,0.0,0,0.35931009356863797,96,-807747818,0.6,0.8,"false",0,0.8929041004739702,0,0.5,"false",0.95,"false",0.9,0.7,1
113,0.2,0.0045,0.0,1,0.0,0,0.4654799858108163,112,-807509727,0.6,0.8,"false",0,0.2937226998619735,0,0.5,"false",0.95,"false",0.9,0.7,1
129,0.2,0.0045,0.0,1,0.0,0,0.09789874474518001,128,-807331648,0.6,0.8,"false",0,0.2882428497541696,0,0.5,"false",0.95,"false",0.9,0.7,1
145,0.2,0.0045,0.0,1,0.0,0,0.9903757146093994,144,-807106404,0.6,0.8,"false",0,0.49936457187868655,0,0.5,"false",0.95,"false",0.9,0.7,1
161,0.2,0.0045,0.0,1,0.0,0,0.18866023421287537,160,-806948470,0.6,0.8,"false",0,0.8557187782134861,0,0.5,"false",0.95,"false",0.9,0.7,1
177,0.2,0.0045,0.0,1,0.0,0,0.9489424489438534,176,-806711449,0.6,0.8,"false",0,0.11673777061514556,0,0.5,"false",0.95,"false",0.9,0.7,1
193,0.2,0.0045,0.0,1,0.0,0,0.6657774937339127,192,-806578053,0.6,0.8,"false",0,0.9396946509368718,0,0.5,"false",0.95,"false",0.9,0.7,1
209,0.2,0.0045,0.0,1,0.0,0,0.6501788815949112,208,-806377739,0.6,0.8,"false",0,0.23930076602846384,0,0.5,"false",0.95,"false",0.9,0.7,1
225,0.2,0.0045,0.0,1,0.0,0,0.02412738697603345,224,-806207737,0.6,0.8,"false",0,0.21297337720170617,0,0.5,"false",0.95,"false",0.9,0.7,1
241,0.2,0.0045,0.0,1,0.0,0,0.34186788368970156,240,-806016108,0.6,0.8,"false",0,0.9520903720986098,0,0.5,"false",0.95,"false",0.9,0.7,1
257,0.2,0.0045,0.0,1,0.0,0,0.7753334755543619,256,-805781838,0.6,0.8,"false",0,0.4732470123562962,0,0.5,"false",0.95,"false",0.9,0.7,1
273,0.2,0.0045,0.0,1,0.0,0,0.5709886411204934,272,-805598884,0.6,0.8,"false",0,0.43147944449447095,0,0.5,"false",0.95,"false",0.9,0.7,1
289,0.2,0.0045,0.0,1,0.0,0,0.16283733770251274,288,-805431481,0.6,0.8,"false",0,0.7399973627179861,0,0.5,"false",0.95,"false",0.9,0.7,1
305,0.2,0.0045,0.0,1,0.0,0,0.5712779145687819,304,-805174200,0.6,0.8,"false",0,0.003974679159000516,0,0.5,"false",0.95,"false",0.9,0.7,1
321,0.2,0.0045,0.0,1,0.0,0,0.2784869954921305,320,-805044967,0.6,0.8,"false",0,0.30743820988573134,0,0.5,"false",0.95,"false",0.9,0.7,1
337,0.2,0.0045,0.0,1,0.0,0,0.6076205805875361,336,-804841767,0.6,0.8,"false",0,0.6865321388468146,0,0.5,"false",0.95,"false",0.9,0.7,1
353,0.2,0.0045,0.0,1,0.0,0,0.9931560885161161,352,-804642059,0.6,0.8,"false",0,0.8133625478949398,0,0.5,"false",0.95,"false",0.9,0.7,1
369,0.2,0.0045,0.0,1,0.0,0,0.5377971888519824,368,-804454632,0.6,0.8,"false",0,0.872390169184655,0,0.5,"false",0.95,"false",0.9,0.7,1
385,0.2,0.0045,0.0,1,0.0,0,0.0794920171611011,384,-804224818,0.6,0.8,"false",0,0.2180383764207363,0,0.5,"false",0.95,"false",0.9,0.7,1
401,0.2,0.0045,0.0,1,0.0,0,0.9197875147219747,400,-804011692,0.6,0.8,"false",0,0.9711306458339095,0,0.5,"false",0.95,"false",0.9,0.7,1
417,0.2,0.0045,0.0,1,0.0,0,0.6798177855089307,416,-803807674,0.6,0.8,"false",0,0.3191379781346768,0,0.5,"false",0.95,"false",0.9,0.7,1
433,0.2,0.0045,0.0,1,0.0,0,0.1774128631222993,432,-803653033,0.6,0.8,"false",0,0.15533363004215062,0,0.5,"false",0.95,"false",0.9,0.7,1
449,0.2,0.0045,0.0,1,0.0,0,0.9399708879645914,448,-803489262,0.6,0.8,"false",0,0.6043331001419574,0,0.5,"false",0.95,"false",0.9,0.7,1
465,0.2,0.0045,0.0,1,0.0,0,0.6759458733722568,464,-803324393,0.6,0.8,"false",0,0.19828661205247045,0,0.5,"false",0.95,"false",0.9,0.7,1
481,0.2,0.0045,0.0,1,0.0,0,0.6599761054385453,480,-803170306,0.6,0.8,"false",0,0.9811170073226094,0,0.5,"false",0.95,"false",0.9,0.7,1
497,0.2,0.0045,0.0,1,0.0,0,0.5575563879683614,496,-802970391,0.6,0.8,"false",0,0.23672100622206926,0,0.5,"false",0.95,"false",0.9,0.7,1
513,0.2,0.0045,0.0,1,0.0,0,0.29291880363598466,512,-802795907,0.6,0.8,"false",0,0.9153711972758174,0,0.5,"false",0.95,"false",0.9,0.7,1
529,0.2,0.0045,0.0,1,0.0,0,0.6776683444622904,528,-802547670,0.6,0.8,"false",0,0.884422636590898,0,0.5,"false",0.95,"false",0.9,0.7,1
545,0.2,0.0045,0.0,1,0.0,0,0.25086352438665926,544,-802335562,0.6,0.8,"false",0,0.7717734817415476,0,0.5,"false",0.95,"false",0.9,0.7,1
561,0.2,0.0045,0.0,1,0.0,0,0.2357980152592063,560,-802083600,0.6,0.8,"false",0,0.6316871796734631,0,0.5,"false",0.95,"false",0.9,0.7,1
